Point;Real;Me Func;Me Func x2
0,001;3,000;1,417;2,394;
0,201;3,000;2,409;3,039;
0,401;3,000;3,252;3,233;
0,601;3,000;3,107;3,045;
0,801;3,000;2,938;2,750;
1,001;3,000;2,792;3,650;
1,201;3,000;3,350;2,105;
1,401;1,000;2,271;1,151;
1,601;1,000;1,060;1,010;
1,801;1,000;1,001;1,001;
2,001;1,000;1,000;1,000;
2,201;1,000;1,000;1,000;
2,401;1,000;1,000;1,000;
2,601;1,000;1,000;1,000;
2,801;1,000;1,000;1,000;
3,001;1,000;1,000;1,000;
3,201;1,000;1,000;1,000;
3,401;1,000;1,000;1,000;
3,601;1,000;1,000;1,000;
3,801;1,000;1,000;1,000;
4,001;1,000;1,000;1,000;
4,201;1,000;1,000;1,000;
4,401;1,000;1,000;1,000;
4,601;1,000;1,000;1,000;
4,801;1,000;1,000;1,000;
5,001;1,000;1,000;1,000;
5,201;1,000;1,000;1,000;
5,401;1,000;1,000;1,000;
5,601;1,000;1,000;1,000;
5,801;1,000;1,000;1,000;
6,001;1,000;1,000;1,000;
6,201;1,000;1,000;1,000;
6,401;1,000;1,000;1,000;
6,601;1,000;1,000;1,000;
6,801;1,000;1,000;1,000;
7,001;1,000;1,000;1,000;
7,201;1,000;1,000;1,000;
7,401;1,000;1,000;1,000;
7,601;1,000;1,000;1,000;
7,801;1,000;1,000;1,000;
8,001;1,000;1,000;1,000;
8,201;1,000;1,000;1,000;
8,401;1,000;1,000;1,000;
8,601;1,000;1,000;1,000;
8,801;1,000;1,000;1,000;
9,001;1,000;1,000;1,000;
9,201;1,000;1,000;1,001;
9,401;1,000;1,006;0,988;
9,601;1,000;1,081;1,106;
9,801;1,000;1,416;0,000;
